A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
ASV_51 0 41 52 27 35 98 72 51 55 0 68 39 0 27 34 27 0 51 0 114 134 0 26 52 0 60 25 36 0 37 38 91 119 14 0 317 221 0 5560 199 350 0 406 143 0 104 0 0 0 0 26 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 6 0 14 0 0 0 0 0 11 0 29 0 0 5 0 0 0 0 0 0 0 0 0
ASV_52 0 0 208 0 62 82 0 0 0 236 0 0 0 159 69 76 234 37 0 0 82 0 52 201 43 0 92 33 275 48 34 86 46 85 0 0 0 365 0 261 0 0 48 111 0 0 34 0 0 0 0 0 0 0 221 410 72 63 0 0 69 0 0 69 0 135 0 0 11 0 150 153 0 35 0 75 0 50 248 8 0 0 74 0 95 38 0 0 61 50 0 0 0 42 233
ASV_53 36 23 23 17 47 66 61 101 14 114 42 8 13 29 14 73 32 52 590 10 9 1 28 46 15 5 89 40 174 19 3 31 1 6 174 87 7 53 7 89 4 27 607 236 2 9 22 19 80 29 1 72 0 33 1 47 55 27 6 101 128 97 1 76 10 39 75 33 43 44 50 40 53 43 0 61 41 33 68 44 37 33 50 32 91 19 51 38 41 54 43 29 34 46 53
ASV_55 81 74 38 24 52 78 107 32 43 62 382 28 311 65 106 30 137 65 117 37 23 17 21 72 20 4 0 32 6 15 23 8 17 47 34 211 7 34 71 26 8 21 4 0 526 65 0 0 658 10 0 48 0 0 0 0 0 0 18 0 0 22 0 0 12 0 0 0 0 26 0 0 0 0 0 0 0 0 20 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 51
ASV_56 29 22 18 34 0 26 0 29 58 5 54 32 106 0 74 17 0 35 26 36 8 17 137 0 11 27 19 0 26 27 22 20 47 22 11 0 47 28 110 15 62 59 4 0 49 56 0 0 0 4 55 91 703 5 9 56 32 37 87 35 31 230 0 0 0 107 195 107 60 80 72 155 0 0 76 0 173 43 381 160 43 0 244 138 94 161 49 0 81 0 0 0 45 57 0
ASV_58 162 28 34 23 55 97 47 46 19 125 159 41 267 51 53 42 40 50 156 105 10 23 30 101 53 5 24 30 14 15 61 16 18 66 13 20 125 41 77 33 11 622 143 77 580 14 71 3 1876 76 0 0 16 0 0 25 0 0 41 0 0 21 0 0 0 0 0 0 0 8 10 0 0 0 0 0 0 0 0 0 0 14 0 0 19 0 0 0 14 0 9 0 10 9 0
ASV_59 8 32 28 25 114 87 6 34 64 14 165 48 114 13 84 142 57 23 5 44 327 46 55 148 4 1 18 2 16 168 6 56 26 2 18 0 126 65 1 22 24 3 5 40 0 3 84 1 1 28 23 230 14 7 187 72 264 91 1 65 10 5 2 1 26 49 34 61 71 93 73 22 20 31 30 95 342 56 25 49 73 79 42 29 11 27 10 37 57 76 58 57 59 67 19
ASV_60 89 26 26 24 42 18 0 34 20 33 0 48 46 44 0 34 82 42 30 43 44 0 0 68 47 0 52 0 0 41 41 50 54 58 23 0 27 123 0 16 23 25 130 42 0 0 40 0 0 36 59 49 70 41 65 51 51 93 135 60 27 173 116 10 59 111 84 120 0 56 0 63 113 84 61 133 102 63 104 101 58 133 156 66 102 84 63 0 60 83 77 86 93 80 65
ASV_61 142 53 74 32 47 144 115 104 33 92 197 66 0 92 53 139 0 106 121 0 36 0 0 78 69 0 0 48 43 151 86 163 140 0 0 0 31 82 19 218 118 138 107 46 0 0 47 0 26 0 0 62 91 0 32 50 19 0 72 54 102 77 65 0 0 303 31 0 48 24 67 69 63 0 31 0 38 25 0 29 40 51 29 58 0 0 24 0 37 31 14 27 27 0 56
ASV_62 1 45 61 269 64 12 17 71 141 63 40 27 28 87 35 5 40 145 2 122 5 175 10 12 353 90 79 78 9 12 64 60 63 72 58 1 30 18 7 35 78 0 1 1 5 38 56 78 14 30 66 39 41 72 3 39 23 3 21 1 161 23 13 79 1 50 30 59 47 33 60 55 60 34 66 58 54 32 47 33 52 34 34 59 33 66 37 45 43 55 55 53 36 32 56
ASV_63 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 25 0 0 36 0 0 0 0 0 0 0 0 0 0 32 40 0 38 42 79 35 14 0 38 56 25 22 0 0 74 0 59 125 400 105 185 207 88 88 46 73 68 28 108 39 104 77 72 0 0 53 87 124 77 51 131 179 81 0 69 104 75 151 75 49 139 39 42 0 48 79 97 55 102 58 95
ASV_64 0 54 27 15 37 28 0 67 33 35 0 81 0 69 48 66 0 29 0 53 226 0 60 34 0 9 42 88 44 77 54 78 36 10 0 0 52 88 0 48 264 19 37 0 0 121 43 13 0 0 0 0 0 0 0 0 0 18 33 764 146 0 0 223 12 77 130 86 22 44 48 88 102 36 66 55 0 76 0 93 31 25 17 130 61 36 47 0 38 134 56 22 41 65 57
ASV_65 228 168 504 388 335 351 0 128 683 1056 242 127 318 120 186 149 291 269 206 217 0 0 182 43 622 149 26 79 19 28 434 0 34 467 22 0 38 0 0 112 427 0 0 61 625 89 57 13 87 39 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 12 4 5 0 0 0 0 3 0 0 0 0 0 0 4 0 14 6 0 0 0 0 2 3 0 4 0
ASV_66 95 34 43 78 45 14 20 12 162 6 0 21 77 15 24 37 13 119 142 46 6 32 23 12 20 21 29 10 3 12 27 32 28 106 0 0 9 32 0 8 3 25 2 125 53 10 17 3 24 7 14 34 391 15 39 107 17 69 19 24 11 1 0 101 264 55 130 50 53 70 34 142 89 90 46 87 209 42 141 78 62 84 56 123 100 68 77 48 68 43 58 62 76 98 0
ASV_67 83 39 40 75 0 36 33 0 50 36 0 0 40 0 0 50 19 47 94 39 29 0 0 54 0 44 0 0 0 0 0 0 0 0 104 0 98 16 0 0 0 0 0 52 27 49 68 0 0 0 41 45 255 128 0 0 0 114 282 23 213 99 121 100 72 56 85 59 166 25 151 49 222 84 79 131 75 0 0 0 44 69 0 141 124 149 129 0 66 21 68 30 0 46 142
ASV_68 28 0 13 35 14 0 0 28 38 0 0 22 63 0 18 41 833 0 23 82 0 104 462 0 16 43 87 99 84 14 37 33 18 0 0 0 0 0 32 0 0 0 0 19 97 46 0 0 0 0 0 389 0 60 31 0 39 61 44 118 135 0 37 0 0 0 0 58 0 0 0 0 0 0 48 0 0 0 0 0 0 31 14 0 0 0 0 0 4 1163 8 0 5 0 66
ASV_69 0 17 24 40 0 13 14 0 24 15 0 0 0 9 0 9 0 39 12 21 17 26 0 10 0 18 0 35 8 19 0 53 18 0 98 0 177 0 0 33 90 0 0 0 0 0 0 0 27 0 132 14 13 0 0 18 0 61 146 17 150 0 590 111 64 22 16 13 0 31 33 30 36 0 122 95 102 32 127 35 43 35 14 73 34 61 51 8 76 48 266 327 264 199 69
ASV_70 0 73 33 0 100 0 0 59 0 43 0 50 0 0 54 120 0 24 0 101 27 398 39 28 25 29 65 74 71 27 76 24 139 0 0 0 34 0 0 34 138 60 94 108 159 108 38 26 0 25 0 0 0 85 0 0 185 256 64 143 107 0 0 0 65 32 0 93 83 33 0 79 0 80 60 273 0 0 0 54 77 0 0 53 32 91 0 0 64 34 71 33 31 0 98
